,std-dp_small-hek293t-pe2.csv,std-pd-k562-pe2.csv,std-dp_small-a549-pe4max_epegrna.csv,std-dp_small-hek293t-pe2max_epegrna.csv,std-dp_small-hek293t-pe4max_epegrna.csv,std-pd-adv-pe2.csv,std-dp_small-hela-pe2max.csv,std-pd-hek293t-pe2.csv,std-dp_small-hek293t-nrch_pe2.csv,std-dp_small-dld1-nrch_pe4max.csv,std-dp_small-dld1-pe2max.csv,std-dp_small-nih3t3-nrch_pe4max.csv,std-dp_small-dld1-pe4max.csv,std-pd-k562mlh1dn-pe2.csv,std-dp-hek293t-pe2.csv,std-dp_small-a549-pe4max.csv,std-dp_small-a549-pe2max.csv,std-dp_small-hek293t-nrch_pe2max.csv,std-dp_small-hct116-pe2.csv,std-dp_small-mda_mb_231-pe2.csv,std-dp_small-hek293t-pe2max.csv,std-dp_small-a549-pe2max_epegrna.csv,std-dp_small-hek293t-pe4max.csv
dp,"[0.6797325428668728, 0.538905873526943, 0.4442011394003913, 0.49988335656996696, 0.5015146108991999]","[0.5341508177005854, 0.5753616405354496, 0.5362569694725821, 0.5418953588991151, 0.5927433880783433]","[0.23004785243295878, 0.28975897012894336, 0.28502715118045785, 0.3073350851954615, 0.4060274588439938]","[0.6423219543858636, 0.522322016910465, 0.6526373629642137, 0.5892193868851336, 0.6257561630086457]","[0.596680934523576, 0.6146885593127536, 0.5665591718383212, 0.6571617685963247, 0.6099544620161623]","[0.47446733744833836, 0.5566871601748788, 0.5194185967666929, 0.5429924116223553, 0.5533235708522319]","[0.330562526612141, 0.42723980122809735, 0.37286120703134884, 0.4352581079448896, 0.39103490527845963]","[0.7892933098432628, 0.8162708124513713, 0.8100836156993765, 0.7975212777853882, 0.829330653222982]","[0.5094891725731259, 0.5419732145386433, 0.5429048672857419, 0.6332966194131586, 0.5237954326949819]","[0.5873770247495074, 0.579930263448432, 0.5546007170703433, 0.48298367903695905, 0.5699465606999183]","[0.648080953298332, 0.6273854042144364, 0.6215832969490975, 0.6000701773068329, 0.6733131777571373]","[0.47801338254464554, 0.46421059626688077, 0.5203546072216625, 0.4863551288822521, 0.5014263906269747]","[0.6127493310825116, 0.5569842507537714, 0.5977674126200867, 0.6187401804187118, 0.5997240028607962]","[0.7909074393435525, 0.7899651320544194, 0.7913314714338107, 0.7889783636647474, 0.7845679379527446]","[0.731459729340346, 0.7280806916687552, 0.7152766131075602, 0.7334680285876962, 0.726740508999394]","[0.34406129446959, 0.39839986202548516, 0.3686199189244803, 0.43529131383928643, 0.2878885509267306]","[0.3661183555885401, 0.33065552497157213, 0.11349356381037978, 0.15483312157857654, 0.271688854214176]","[0.3375463121528526, 0.5053662869974005, 0.3200490321433165, 0.34849910036172105, 0.4103766934804156]","[0.3784637017199657, 0.31604636504040684, 0.4323235083371628, 0.43898099989377215, 0.40805043311047484]","[0.13834538072077507, 0.3383107456826906, 0.3367077960116376, 0.3579100867402474, 0.3508992075124979]","[0.6528918863037916, 0.5977208203143736, 0.635688309674947, 0.6110110698998312, 0.6668845290745367]","[0.36448055574317095, 0.32179220581113555, 0.24795295202187617, 0.3506312547192465, 0.2718444785348879]","[0.6623934513217193, 0.6146778250370062, 0.631525475299668, 0.5997856854665855, 0.5946830678076367]"
pd,"[0.6139258974762143, 0.5889427248838501, 0.5938391655516249, 0.5650649310930191, 0.6894748697501996]","[0.573665810425736, 0.599562025706815, 0.5922087460525827, 0.5772371136051895, 0.5655009302941669]","[0.17428833409417166, 0.3599755569370018, 0.33409614451654335, 0.175811619873798, 0.3236382769834929]","[0.6306148316948708, 0.5853675749235165, 0.6775535039502358, 0.609057078999399, 0.6009561334119553]","[0.6274631325686215, 0.6034005488636467, 0.6148032566816255, 0.6393624156835358, 0.6258192378060699]","[0.4072198862883827, 0.5141392144942962, 0.5408402401025603, 0.5731829110136175, 0.6380441302795772]","[0.5528829969554856, 0.5118087160475966, 0.5261730560150681, 0.573123548653939, 0.5117164930654212]","[0.8059717476531709, 0.8104036329090292, 0.8127508698592569, 0.8018957664304125, 0.8191544191239757]","[0.5080429135066993, 0.5798485929933577, 0.5963418039688122, 0.6211053911378883, 0.5435390932144628]","[0.5863662395370284, 0.5732929030509695, 0.5410504803087406, 0.48856197068228635, 0.6021252327914226]","[0.6426385249346112, 0.6096058803139996, 0.6381179872626035, 0.6062668015191548, 0.6575033057132202]","[0.5227300001928228, 0.4080389052576123, 0.48851664150317475, 0.48817326933830785, 0.5438579647373558]","[0.5614898293468968, 0.598851364088091, 0.597909765522445, 0.6025816017360413, 0.6588441132681169]","[0.7492067269148919, 0.7117838391597038, 0.7786822079709399, 0.7419315667258086, 0.7896554766760033]","[0.7476880216225805, 0.7497796526242664, 0.7414459936317097, 0.7280360831038155, 0.7312983035838245]","[0.4009362052700798, 0.4727651919151299, 0.3459373321256294, 0.3725542647630675, 0.3542713251884919]","[0.25471925736772505, 0.19349649220427523, 0.14815348235578085, 0.20497063545697358, 0.3112658422483605]","[0.36580709095002817, 0.44573011741738355, 0.47755286193734037, 0.31050224638686785, 0.44215619333557754]","[0.5307787519146956, 0.45862041536977616, 0.610148235229758, 0.4837569068624532, 0.5203709051766907]","[0.19710572771479917, 0.42502050033385785, 0.2632435932954138, 0.2209701625867524, 0.19097557164502632]","[0.6643736118319623, 0.6498581174258788, 0.6489241507152315, 0.6019591273896161, 0.6465599704215492]","[0.24165868866043638, 0.2039888043553404, 0.3054260297936082, 0.31382514892447944, 0.29593100341168244]","[0.6269408532814253, 0.6523771103378877, 0.640799841281023, 0.608108884472415, 0.5893410106846204]"
tr,"[0.4074551294850721, 0.4351287577351286, 0.36296771886432566, 0.36370286496043036, 0.5551721373369674]","[0.46948520015249384, 0.47659474767352883, 0.48698303351343597, 0.5321423707072999, 0.5090345623732144]","[0.21471250721513258, 0.3454567982146557, 0.29494632572368573, 0.3455583190047946, 0.30996769627528664]","[0.5617722417923687, 0.5815611436224799, 0.6414394749995154, 0.5877715293951269, 0.5422117415913021]","[0.5694302696636981, 0.6125890071467097, 0.5793352494069666, 0.5304567540537732, 0.5694357270429009]","[0.3515878434256021, 0.41900221985250496, 0.42219946924472107, 0.3684789498499921, 0.46570375444231993]","[0.3740286257603742, 0.46037158624420726, 0.3981761628227143, 0.41344677348200776, 0.37858569198124314]","[0.7937654899135147, 0.7717983321501878, 0.7940475282007657, 0.8022529530252402, 0.8060565158483257]","[0.47329898571007334, 0.5402765481352816, 0.5589398351857966, 0.6170103923751213, 0.5435872434682096]","[0.5566141863453851, 0.53259005814283, 0.5390426703728792, 0.4727498691753147, 0.529846804677959]","[0.5927972902259455, 0.6243631828415346, 0.5958389392433787, 0.5432789820545167, 0.5752873974118415]","[0.4553365511695233, 0.4675275114908004, 0.4758203083468011, 0.4794513675413725, 0.5218437660932977]","[0.5360247259022799, 0.5303536590496378, 0.5632731785426586, 0.562129216299013, 0.5383225318150835]","[0.7268670065962404, 0.7280376301491431, 0.7447009495444852, 0.7131990261243608, 0.7255031337267339]","[0.6903349155707772, 0.6907600572256462, 0.676555459534635, 0.6866842416095783, 0.6874736256417968]","[0.5004008060754899, 0.4437299046034582, 0.39177031882454116, 0.37895719543216444, 0.2750248378621656]","[0.28795467437282696, 0.27998739125484207, 0.1023506464837034, 0.27883545275046373, 0.2887971392926332]","[0.3389439443631659, 0.49886770840839745, 0.3620295378240286, 0.36349450324647137, 0.454921183838211]","[0.4149326699574516, 0.36493081751932266, 0.4407608922649615, 0.38216150686545447, 0.4175387976147249]","[0.16576298104195342, 0.3516185253024986, 0.28161318108277555, 0.3567423875971869, 0.27613286374955237]","[0.5838111197244871, 0.5978795222463305, 0.6212442149347908, 0.5312483538629635, 0.5782021679981426]","[0.3994893868526219, 0.2648941328049812, 0.2491773015986496, 0.34331357211925706, 0.241294984367606]","[0.5329668232793665, 0.5961800472620666, 0.6168714806522075, 0.4923384713208634, 0.5453390026580109]"
ada,"[0.5217612735893608, 0.5325189053150389, 0.3688889773738537, 0.5305805937969337, 0.4719137469552069]","[0.5527633051345311, 0.5341731288635544, 0.5468902648608598, 0.5393831594988928, 0.5622693499200669]","[0.20801882529490476, 0.31737097175148943, 0.34281928824974395, 0.36443108984512046, 0.29138348693905614]","[0.4450501761246547, 0.4408657423279953, 0.4749384308986301, 0.4393732648580017, 0.475577016666391]","[0.5108189249002728, 0.5029715710840997, 0.4597496682806339, 0.4646678525079939, 0.4939673605123372]","[0.4405043809866196, 0.4994007095571585, 0.44492647079764025, 0.4809833830946402, 0.50629558740856]","[0.47440454696236123, 0.46481650376814665, 0.3877004473345208, 0.5246416338851676, 0.4323152908359459]","[0.8403818106597972, 0.8415523597124392, 0.8374106423587718, 0.8376911602723642, 0.8398893481477034]","[0.5571445504378194, 0.621537388510607, 0.6046176877695877, 0.6416444395998844, 0.5834792586523214]","[0.6337164529484702, 0.6287802722251477, 0.6197887560751414, 0.5687493595663604, 0.5876639283634889]","[0.525694927201154, 0.5568828788343163, 0.5341782505525778, 0.5402622821043135, 0.5090093028133611]","[0.5713307080465884, 0.5550531682211521, 0.5723015437132667, 0.5279003104418927, 0.5734966487775042]","[0.5207530987819706, 0.47176503615734616, 0.483557249869144, 0.5023693180117036, 0.5057789207679235]","[0.7760407250748507, 0.770292364497912, 0.7663336593120251, 0.7665394631539405, 0.771342501543022]","[0.6802080882629546, 0.6806442995486489, 0.6690699061048057, 0.6789703661253552, 0.6699987581563767]","[0.5107092551301387, 0.44487256612166437, 0.4059763677421947, 0.3644668139828864, 0.24438491134460966]","[0.12796504411867743, 0.2574287089014933, 0.11263593603491732, 0.30988338328372683, 0.15154850276260026]","[0.4723076744224486, 0.5136680440516685, 0.5148970063600505, 0.5431515083455676, 0.4913760567679987]","[0.48285383433537776, 0.42002919532269195, 0.4738011028603605, 0.4047659804948832, 0.4982723530023504]","[0.23060303012192152, 0.49863993311001586, 0.40952884153655245, 0.42187420240449286, 0.28253846229347745]","[0.5060551422801363, 0.4765110533771497, 0.51835510757376, 0.4109576912807238, 0.4755785053575097]","[0.4021304144622399, 0.2845743577674165, 0.27308701284141257, 0.39544392062945505, 0.32313226499879677]","[0.5451516139289276, 0.5074508291830099, 0.49819037661850846, 0.4434540463145139, 0.49381287491522574]"
bag,"[0.5141203858514576, 0.5361061185940144, 0.3943720709388824, 0.5331866891733279, 0.5444475397385726]","[0.5533226146564373, 0.5303356415531677, 0.5444000479654086, 0.553889496620757, 0.5697027295432276]","[0.1883570643689959, 0.3593945603906057, 0.3902219989636057, 0.3891087766260706, 0.3121500348223095]","[0.4996266104266839, 0.4832573073556271, 0.552879318961847, 0.5033867473632714, 0.5117553752146393]","[0.5387523172634144, 0.5626696470299491, 0.4951582811995398, 0.513210490938325, 0.5225094504128345]","[0.4584421868288624, 0.5000046944550718, 0.4653170900624173, 0.48526309544182256, 0.5031227698036473]","[0.4986336188919492, 0.4879900678866179, 0.4547103165839531, 0.4916814685785825, 0.46293273176434235]","[0.8335058478784387, 0.8408206172865911, 0.8347368103417949, 0.8343431529828575, 0.8382089443305145]","[0.541744336560873, 0.6214917013744834, 0.617051737898306, 0.6503094142946709, 0.5688536772381481]","[0.6424362398045638, 0.6090117722478289, 0.6212924501155838, 0.5789629618195046, 0.6447998885200226]","[0.5904787169841755, 0.5903457434682857, 0.5789763891711823, 0.5776845363392625, 0.5423993667855946]","[0.565331857214884, 0.5636756176683781, 0.5726483802928227, 0.5354836797948954, 0.5922009223293363]","[0.5633358732547492, 0.5167559163036882, 0.5468572944639944, 0.5386798105810436, 0.5703803133940093]","[0.7703986135733567, 0.7634800690899249, 0.7660770679099567, 0.7607520663792343, 0.7644523266391037]","[0.6813096019652352, 0.6830741696040243, 0.6699753049305698, 0.6812396398249132, 0.6745059254537348]","[0.44091713927434223, 0.44097967762006846, 0.43561183406991677, 0.4010637305817194, 0.2955536937718187]","[0.29408293790340223, 0.261031969850603, 0.1002214963526615, 0.32850875568677795, 0.18657240834695313]","[0.49566476287053274, 0.4823228498874958, 0.47291068049922874, 0.5158830522684211, 0.4314376833142822]","[0.5338079650591082, 0.45327659287331357, 0.484202749162156, 0.4484913361216246, 0.52260590030921]","[0.22141090429420154, 0.4587768466814775, 0.44340940691025077, 0.40175829926599377, 0.33294362885921064]","[0.5455706424634263, 0.5203995392933386, 0.5665581815475786, 0.4668447544482968, 0.5435430403061937]","[0.36126767966103146, 0.31229830936484926, 0.27728396533771754, 0.43434160558321244, 0.3518985890983461]","[0.5651914850434906, 0.5632946611381574, 0.5567554470074338, 0.4886785185612461, 0.536823369034997]"
pwm,"[0.5557083118718253, 0.5296679623068599, 0.3965158368534958, 0.5324568880428053, 0.5132748137818339]","[0.5310852640306405, 0.5293764693150234, 0.5439309693011971, 0.5415017714782466, 0.5538652260323449]","[0.2130420261736532, 0.3269882235435233, 0.35576054299616544, 0.3566403776788434, 0.3291999302436608]","[0.4809288109386216, 0.48064912185938624, 0.5288658616420321, 0.47609340397224287, 0.5095187908220424]","[0.5391483560863648, 0.538647084243582, 0.49637506599633474, 0.49681339484459386, 0.5200791546106984]","[0.4359226284226614, 0.5121667158455514, 0.45518484151523886, 0.4693248754683177, 0.5099331965748124]","[0.5053405768780408, 0.4942346427960729, 0.42764534540265253, 0.5174231985696451, 0.4465264308856547]","[0.833240297190649, 0.8320888778184097, 0.835910004519576, 0.8272304523961989, 0.8319604073943019]","[0.5658125692307525, 0.6260789536283937, 0.6286405094855243, 0.6684107474679166, 0.5847127846864169]","[0.6437137047250872, 0.6287793166387416, 0.6194745010925544, 0.5656306567837319, 0.6165670853459062]","[0.55664916619887, 0.5851971377259133, 0.55258779806082, 0.5638023785645103, 0.528189858781289]","[0.5669306807173413, 0.549456816714553, 0.5876348665981652, 0.5401758581084053, 0.6027390030715765]","[0.5476939415348738, 0.5028868589138824, 0.5236401296136819, 0.5126858222091641, 0.5432575104949251]","[0.76899040873124, 0.7603343589673586, 0.754992100079539, 0.7544337699524171, 0.7621369914738043]","[0.6784499949684057, 0.6801560624541504, 0.6678192387397942, 0.6723229310114552, 0.6702492629296227]","[0.5099412624766728, 0.4545840178121807, 0.431705643596473, 0.4123774765000121, 0.2819242980962713]","[0.14573290817040174, 0.28252889807840376, 0.1400177199007544, 0.31028500116936897, 0.18567758038850002]","[0.46861503465098053, 0.5388059365454474, 0.5094028446414143, 0.5391773599022827, 0.5025832884292569]","[0.503298052517664, 0.4372677746231233, 0.4819981117545922, 0.42804471076220807, 0.5032241976284091]","[0.2349930221987051, 0.49682484197634835, 0.3998021789069526, 0.4258389796539319, 0.3263026012977832]","[0.5520143782146079, 0.5188831639970588, 0.5571537452022994, 0.44394523528461605, 0.5189593795905694]","[0.4054686658082858, 0.2851629749006417, 0.3008501354830031, 0.41147608062520646, 0.3312496155099325]","[0.5751023637302524, 0.5555590492515421, 0.534970986159756, 0.48724378330402374, 0.5330627099088261]"
mlp,"[-0.11574141250628145, 0.10890533595957663, -0.08857738660259429, 0.04109415519228321, 0.14911630228779416]","[0.4402211876758116, 0.4812001465885114, 0.4814565582370183, 0.48602491147552007, 0.4669628879114758]","[-0.09777693788579223, -0.06700510791697667, 0.02043223265866345, 0.005881752461789347, -0.1297187523400325]","[-0.17741490462248066, 0.20285635415685022, -0.17884152996219882, 0.10303606769343787, -0.14888150911713183]","[-0.03851611273339017, 0.11646351666911414, -0.14917284416232235, -0.14475788731169814, 0.040194557311735934]","[0.4112433530175563, 0.46130543947623615, 0.4349682674556381, 0.41930429972460925, 0.43923086905709763]","[0.11193791723107438, 0.009139541553906838, -0.09687174536955467, -0.0943591429729338, -0.024838538987424386]","[0.7881469876455518, 0.798312122339385, 0.7966067755382618, 0.7859651730860566, 0.8073654421621619]","[0.019792639442067106, -0.03065542066127591, -0.02529177496423074, 0.25927445738651755, -0.04020847964520158]","[0.017965320498205983, -0.09470437661678943, 0.11350779930353383, -0.11161598801931305, -0.05708368001145914]","[-0.00233832631408859, 0.07677435171376601, 0.003732361847426091, 0.12917925920027784, -0.12802799120407826]","[0.07817830050362318, 0.010173500987804118, 0.15827588020940908, -0.0737823304274059, 0.06406956332105551]","[-0.18228168414137258, 0.12380625448790283, 0.16974561003007693, -0.1476353585581549, 0.13457844206971004]","[0.7193056498478274, 0.7252782333142064, 0.7294783979200554, 0.709492338764889, 0.7204993485356495]","[0.672098146332734, 0.6757769987248524, 0.6644220628665681, 0.6739281889545764, 0.6663216013984234]","[0.0816759115682828, -0.07354447923322738, -0.03390297616121529, -0.11981149270053493, -0.08551246006584279]","[-0.03218669426449594, -0.13376297386758296, -0.08262883546233368, -0.042929586409609755, -0.0822778840698426]","[-0.04548784949231788, -0.05934138551242896, 0.11471433338423509, -0.05766691703539095, 0.08470322275813658]","[0.02228413713748978, -0.10005630232765839, -0.13394413981818332, 0.0931864416099728, 0.20682549455546706]","[-0.07834552907648895, -0.058655757715342816, -0.05990675849210447, 0.04559936417737731, -0.08136166619480889]","[-0.06702830362291934, -0.1260224896973341, -0.15667215317223437, -0.057234207499959666, -0.09517198153366735]","[0.09320742950120575, -0.11702529516942661, -0.05061131637182825, -0.05511486234517804, 0.007859726331332695]","[-0.02557804956316545, 0.04584959767271357, -0.045750827300651054, -0.032096688600859125, -0.04348780355996951]"
rf,"[0.4926914577308035, 0.46652876641789676, 0.3595750683816167, 0.5137689747564225, 0.46735159521317793]","[0.4438841684807901, 0.43587544672992273, 0.4505190293125913, 0.4438641144698887, 0.48090306524365317]","[0.14167049269913612, 0.296428333064888, 0.3543501059600473, 0.4041602879825875, 0.35862524052474376]","[0.3886024964333757, 0.4255535889275491, 0.47781365206091087, 0.4168910398931329, 0.4229869673807547]","[0.4763776159349186, 0.5077330480915945, 0.44547723768350256, 0.40378780114185747, 0.4616128034700056]","[0.3682127803205672, 0.4297054013460839, 0.4107041782583502, 0.40006727710489276, 0.4344716553633039]","[0.42533871980470556, 0.44553838176113053, 0.34042640366172466, 0.4190723199172992, 0.37150659519162543]","[0.7992256351594247, 0.7996536387785087, 0.8047400803327719, 0.802050325982244, 0.8006609877083578]","[0.5295498628343382, 0.6101686618547091, 0.5926845412560984, 0.6374753543429267, 0.5911587194800251]","[0.6059893394373198, 0.6022351566905223, 0.5849618120718321, 0.5361436159965183, 0.6099806081549953]","[0.4850924038507425, 0.5247126209517821, 0.4916119143217705, 0.5281584318216018, 0.4535619196330323]","[0.5698098067126858, 0.5567343834371261, 0.5738091882523022, 0.47568798942481827, 0.5794471271850243]","[0.47931531780909603, 0.3582615689565183, 0.4194462625679324, 0.4085355554389378, 0.42695954896837396]","[0.7296633792899834, 0.7148382349775264, 0.723873877247732, 0.7212227770515675, 0.7270958103767374]","[0.5466544583839861, 0.5469697880257464, 0.5411373530133442, 0.5488055127002825, 0.5472577625447553]","[0.49364219733511344, 0.4343035539036031, 0.427867056142875, 0.3472240587664372, 0.18546999434136344]","[0.11061817044907113, 0.22466743410216106, 0.07714261884913479, 0.2191935358274752, 0.12038459909191543]","[0.45442669197861996, 0.47047360942519356, 0.46786568488828084, 0.4826759275307258, 0.4310884800885845]","[0.47243575751763744, 0.386648644134292, 0.4529044189970856, 0.4261390101368777, 0.45918877945702147]","[0.1864703777720225, 0.4947578563832863, 0.3994463842426764, 0.42249547987847574, 0.24602199464655786]","[0.4428612639903836, 0.45112723670216964, 0.5125402850413854, 0.39069051481485956, 0.44434963424543306]","[0.3654283090318481, 0.25921834983935466, 0.25135995060072436, 0.38736087781963013, 0.31000091584299]","[0.48610345511115827, 0.426038140263867, 0.48745791825444074, 0.4244951888929545, 0.4297948792087388]"
xgb,"[0.45908446814831905, 0.461765314275965, 0.35460450303993696, 0.47918394361035865, 0.3651419889934999]","[0.4703914657381034, 0.48594827213840613, 0.4865927078371195, 0.4951396999994664, 0.49730613886151076]","[0.20660028056825297, 0.24465145654019338, 0.30591124463539643, 0.3153985761524041, 0.19901888036874738]","[0.3110031850638393, 0.33555125760558724, 0.3572822216153213, 0.32596387227675905, 0.3822568606109371]","[0.40429916720799497, 0.4041584319060121, 0.36159352973771774, 0.3353299875743687, 0.3912989479392266]","[0.3765952995934547, 0.449900644812778, 0.37626892782118126, 0.42394813278651355, 0.4526102181921128]","[0.39209344539631275, 0.3481188727550091, 0.3318968009791661, 0.5181310027982207, 0.37547805358404673]","[0.8337263810082725, 0.8306881797219194, 0.8338761284261187, 0.8278058777570543, 0.8328317930837317]","[0.5334339718134302, 0.578229208764057, 0.5696057143855171, 0.5991007419945404, 0.5332895694213784]","[0.5801183122939619, 0.5944658812099766, 0.555183904432738, 0.5429694644715468, 0.5121262182631199]","[0.38752996245997906, 0.4845451986521425, 0.3949309182747811, 0.4314997185355196, 0.3547653105200368]","[0.5141826221726546, 0.5163987385340079, 0.5229162050234777, 0.4540243772026997, 0.5078480588735772]","[0.41229215499845395, 0.3189747023641303, 0.35591683076711433, 0.31732692046023203, 0.36075115933147117]","[0.7495000607753539, 0.7388552932393947, 0.7370331948221347, 0.7413914720532494, 0.7431741693646243]","[0.6828479637204391, 0.6828018913076245, 0.6713340057742896, 0.6822895898756861, 0.6732686572533241]","[0.4598750180666542, 0.39844539501490317, 0.28856331303413896, 0.2710319916397097, 0.18250429020532977]","[0.09854500857972681, 0.25303978326698484, 0.08141341597679741, 0.31795062057793544, 0.12559658970347698]","[0.4247093105563202, 0.45213509169923327, 0.5236740721376965, 0.5079302668553538, 0.43743941404548536]","[0.4296307480570647, 0.37186848477842716, 0.37237580462465303, 0.3553374901186408, 0.4249012806194514]","[0.19351211958598036, 0.45849055493278, 0.3826965313848518, 0.38287317205403326, 0.23683396189926498]","[0.41939342021572656, 0.4050420016496048, 0.4314978299271388, 0.28706893792696064, 0.375254281690502]","[0.35912984362391853, 0.24322964983844741, 0.24029580792051775, 0.3471271773399849, 0.2783738130979714]","[0.4356569437391684, 0.3740997700737694, 0.4145758851382446, 0.3596198700192872, 0.43101617446696494]"
ridge,"[0.3764045340854878, 0.42253066722176413, 0.4443757133388999, 0.3782569709830774, 0.4516592218345892]","[0.38011531264116877, 0.40172456714422433, 0.3877358958137063, 0.39586992390496545, 0.40116034741727224]","[0.20109908185912673, 0.29392476339245377, 0.2550294026852953, 0.2734829398896075, 0.2665998971596082]","[0.39718974168926025, 0.40890907856427816, 0.43582126871388027, 0.3866418644594205, 0.3961100390727097]","[0.4079071797166165, 0.41556199279429507, 0.4094501831388584, 0.40386456078323363, 0.41467180616844246]","[0.3670526087622553, 0.39978809700713025, 0.362625128356014, 0.37198702029700637, 0.3795351173587012]","[0.4333521810896883, 0.42270140367062936, 0.3791400267900542, 0.3683736633221315, 0.33334342573743925]","[0.7178607175965602, 0.721377418425549, 0.7208850299082536, 0.7218034272180334, 0.7234854468779734]","[0.4091226687656899, 0.46523113353384815, 0.5044356253457067, 0.4824829029424933, 0.41390138653480335]","[0.49415967498032387, 0.47227588586940783, 0.4731733206504032, 0.4197416818304127, 0.4865983983442135]","[0.4326313385103333, 0.42448076968912574, 0.42349318292366434, 0.45318623936842073, 0.402367668835069]","[0.40289032208357867, 0.41576606201172694, 0.41320324674484255, 0.42668736466862356, 0.4395855174547023]","[0.4097635498319514, 0.39819246583158474, 0.4041767793856934, 0.36852560520708266, 0.4221483541767981]","[0.6288565050967386, 0.6314479120282224, 0.6255789953499584, 0.6264954526486901, 0.629133515766303]","[0.4800498906833523, 0.4829018897032151, 0.4755749997578179, 0.4812567871948565, 0.4744840609289927]","[0.31284271157448984, 0.33070215818999316, 0.34820165512039125, 0.3221664597564313, 0.29000877791317947]","[0.14734133908693536, 0.19706317006468055, 0.1273070203398987, 0.14844648371439462, 0.18324130762857038]","[0.29717826862477636, 0.3336723287793628, 0.30989075539692124, 0.33545107405257113, 0.2787096775265354]","[0.378681992753485, 0.36246360855163573, 0.41469000108682674, 0.3522395626753507, 0.39123634385133244]","[0.21707854858817655, 0.30766057935733215, 0.23162283146129425, 0.2563893033568134, 0.26743117997841637]","[0.4198605518519116, 0.42494488077591086, 0.4516090696841957, 0.40136344915697464, 0.43581244341032743]","[0.2762899962829124, 0.25619270165771013, 0.26843691280268445, 0.2552211777271509, 0.21169398579451126]","[0.4126741792573796, 0.46527437906024716, 0.45619023393683733, 0.3908417609622745, 0.44192922702532655]"
