dataset,mut-type,dp,pd,tr,ada,bag,pwm
pd-k562-pe2,sub,"[0.5808124821348434, 0.5727594411574325, 0.5608770483138323, 0.565844784530103, 0.5845544507599307]","[0.6232536439126636, 0.6469477443967364, 0.641734018677917, 0.6457472913725382, 0.6250783332676738]","[0.5471774056825319, 0.5294105761781706, 0.5557060446738796, 0.5342767965957238, 0.5417675322810519]","[0.6228084089770615, 0.6048267841660105, 0.6108715488439024, 0.5976059292551339, 0.5996028548794144]","[0.6221498587056443, 0.6003672802109747, 0.6107487623710551, 0.6089326560852282, 0.6059346317035641]","[0.6161686433023315, 0.5958595227226546, 0.6001361407075604, 0.6017323255395115, 0.5957500140624902]"
pd-k562-pe2,ins,"[0.7338030639483146, 0.7237776831088517, 0.7448265434541153, 0.7465897776633249, 0.7327159358802181]","[0.7724570944544553, 0.7806907199699769, 0.7714065918813252, 0.78007430130962, 0.748637904383455]","[0.7214487646364567, 0.721615023640596, 0.7211176513248353, 0.7402267021980298, 0.7006919923446171]","[0.733207147765929, 0.7040498859289052, 0.7048629599067221, 0.738866825513557, 0.7134483530608206]","[0.7378626448774862, 0.7142169263881769, 0.7143723031275038, 0.7519576478680731, 0.7115642413457315]","[0.7298804350220619, 0.7024659076569099, 0.7072638136290176, 0.7384007206648057, 0.7083228868356788]"
pd-k562-pe2,del,"[0.2911294224126209, 0.42684591577796493, 0.304596495720173, 0.35082370045106437, 0.3554270858948366]","[0.4692511982066279, 0.41793701770192987, 0.29304976005944244, 0.380024101949998, 0.4196082181701494]","[0.4729865724947472, 0.4413779964939658, 0.38763545957678264, 0.36990520013504763, 0.41223452673111927]","[0.454020086241985, 0.45744545516644175, 0.4026376017662969, 0.44202039020316714, 0.4353225642629899]","[0.46821386286787814, 0.45404123723338896, 0.40771874917027584, 0.4657132674748608, 0.41913063400859407]","[0.4609636496991469, 0.4622958743839067, 0.4037592607247335, 0.45199036130167336, 0.43999020023683205]"
pd-adv-pe2,sub,"[0.48140397716911376, 0.48750336375735365, 0.49402175747440846, 0.44151615409437067, 0.4749443233957618]","[0.5184516275537374, 0.4962479565950714, 0.5403906214281721, 0.4863565299064342, 0.5405108295311386]","[0.36097315784570444, 0.36505606631696835, 0.41356965337518553, 0.3250395775953391, 0.43457718391935835]","[0.48051820122010536, 0.49025598586633495, 0.4790793872681409, 0.4721135013714538, 0.4981070407613468]","[0.4817623801931042, 0.49022005934820617, 0.4838651910759108, 0.47715391312060895, 0.48995648477028053]","[0.48211230453515325, 0.49249397168201026, 0.4796332825270409, 0.46618863859859233, 0.4948927286264977]"
pd-adv-pe2,ins,"[0.6997337321373247, 0.705803630715036, 0.6906455060515814, 0.7492134980653979, 0.7105600620068808]","[0.6222338980414546, 0.6781516334917359, 0.6520989715548487, 0.7536414384984015, 0.73549027191688]","[0.6926611628910799, 0.6533378103531067, 0.6865106515148807, 0.6746599762176975, 0.683352036331179]","[0.7088346233916974, 0.6649240751222185, 0.6314205956890843, 0.6933248979401384, 0.6705901737384965]","[0.7054839115619357, 0.6734581112102587, 0.6642990599156333, 0.7145619757820796, 0.6847059665959561]","[0.7108189577255941, 0.6645056846132963, 0.6348558442412674, 0.6943058103307395, 0.6798561066415972]"
pd-adv-pe2,del,"[0.14803858477190557, 0.28029386564376374, 0.14823685177968235, 0.11172712583279343, 0.2552844368032524]","[0.2995215387108807, 0.26818228618997547, 0.17773307025240964, 0.25541684004556015, 0.2518376296304915]","[0.22697906017146255, 0.27236112983355554, 0.2919322545599539, 0.23877068932140652, 0.22272784396931067]","[0.25211714262728135, 0.32737982499860674, 0.2566558449041418, 0.23829301978503137, 0.23605619339220363]","[0.2812537400166704, 0.3234085485980386, 0.2885689363506587, 0.2530316129034753, 0.23054031714910347]","[0.26492683196536226, 0.3334818741427908, 0.27101136568867645, 0.24429261497692462, 0.23803653718503295]"
pd-hek293t-pe2,sub,"[0.6828827656014401, 0.7137099642114847, 0.7183975909627401, 0.7109634230796646, 0.7309658927791497]","[0.6881015712034343, 0.7130636516736512, 0.6980697081056579, 0.7296384985597446, 0.7279099188884732]","[0.6662084612284411, 0.632857851771441, 0.6578061272669838, 0.6931537231711599, 0.6950625230164719]","[0.7455659615697642, 0.7350898129142216, 0.7520727908865822, 0.7628513891395506, 0.7578708474555196]","[0.7430298447044653, 0.7366119244319187, 0.7541858569160405, 0.7686772890886054, 0.756233588905843]","[0.7452006206058958, 0.7332266558456162, 0.7457581275511331, 0.7545584191281371, 0.7502652235148437]"
pd-hek293t-pe2,ins,"[0.6995677710935404, 0.7921234717750854, 0.8045887627562145, 0.7518101345652543, 0.7151181748251333]","[0.7352342078857934, 0.6751454143683265, 0.6532614294381383, 0.581395496468899, 0.7256846866034968]","[0.7914891943042243, 0.7895986292031753, 0.7880112065395068, 0.7876492513223544, 0.8029975541776975]","[0.82884361673479, 0.8059177058605456, 0.8142184239985019, 0.8374455443658653, 0.8266520152765375]","[0.835315967941519, 0.8210383119168422, 0.8209874452687626, 0.8405175805536044, 0.8342464020872812]","[0.8338537054366617, 0.8122990798670939, 0.8182452970253298, 0.8368528583280889, 0.8317320357371233]"
pd-hek293t-pe2,del,"[0.5728946766400461, 0.745058840038847, 0.6587594713639363, 0.713487473709422, 0.5543439275652726]","[0.5967191491104739, 0.6380884895063269, 0.6159265019439353, 0.6787931545383964, 0.6700482494401099]","[0.6744931842306672, 0.6535638990142013, 0.666114724702042, 0.6887954772164276, 0.689533603442122]","[0.7430907098865337, 0.7469600388399872, 0.7021853754854507, 0.7469837465607477, 0.7429128767783639]","[0.74204006919024, 0.751213896998286, 0.6967694656243575, 0.7466523432392731, 0.7371229776785444]","[0.7460170718377344, 0.7503136269255314, 0.6993719900759755, 0.7433353479814165, 0.7427102808072221]"
pd-k562mlh1dn-pe2,sub,"[0.7204697720907274, 0.7450225926654553, 0.7339112116235416, 0.7545691244866162, 0.7334441583881767]","[0.6946253669888977, 0.670939279536716, 0.7635198262116925, 0.7159505952251397, 0.7534834382534196]","[0.6612491173181034, 0.6621009261718471, 0.6842812439926622, 0.6708863578975323, 0.6778548302893673]","[0.7303730285762007, 0.7203227447313136, 0.7357522904024867, 0.7511391933977257, 0.7435155498823436]","[0.7370999325190399, 0.7205641008954835, 0.7370900388926999, 0.7489717542729206, 0.7442978225547563]","[0.7273979552434681, 0.7177239831988653, 0.7353097069159217, 0.7463716264572056, 0.7419296532423476]"
pd-k562mlh1dn-pe2,ins,"[0.7884625301537779, 0.7740921025102037, 0.7817204995207927, 0.7863038496879698, 0.7821295603858239]","[0.7661382299118531, 0.7519603038450688, 0.7780576331842665, 0.7881928070116174, 0.7950121783234837]","[0.7658572477609201, 0.7747797455628204, 0.7656366244945146, 0.7785503231127681, 0.764719068600948]","[0.7864185253029505, 0.7797898441244261, 0.7766892879521679, 0.7894489195142005, 0.7743855212651016]","[0.7935556678425707, 0.7898693697316301, 0.7831760311516521, 0.8009142509984252, 0.795329496568863]","[0.7903772819907638, 0.7815981672065926, 0.7761941931034215, 0.7960755582447279, 0.7784319294801618]"
pd-k562mlh1dn-pe2,del,"[0.651995438728424, 0.6070442799208428, 0.5710290826027845, 0.6451979749608965, 0.5802023627066141]","[0.6826867456684165, 0.6072102379404161, 0.5473196527776395, 0.6590404870773157, 0.5931983286310232]","[0.6361292368979825, 0.6304958386455859, 0.6076618905141691, 0.6482308434333429, 0.6388341489245537]","[0.6727515371498517, 0.6763430161103196, 0.6272043293313962, 0.6821512568739928, 0.6669280630795016]","[0.6906520861320805, 0.685196880880106, 0.6287581725117327, 0.6901129549117926, 0.6708961077322659]","[0.6798853379575078, 0.6830342044799697, 0.6308374324454395, 0.6799400296691425, 0.6725480580533776]"
dp-hek293t-pe2,sub,"[0.7527556956249707, 0.7469471938433281, 0.7495217126779393, 0.7564803772784157, 0.7517348073488059]","[0.7611723918032451, 0.7646932591992132, 0.757835043379093, 0.7567855185373906, 0.7548491651187117]","[0.7329390823657063, 0.7342366159362277, 0.7318265064043836, 0.7315055773459398, 0.7366633138173283]","[0.7312354918946273, 0.7363113454536344, 0.7307028767537946, 0.7368809124351173, 0.7300075753223234]","[0.7291890327094475, 0.7346923448618026, 0.72961312360941, 0.7365113079574523, 0.7290255539004102]","[0.7291125325213731, 0.7342518356175255, 0.7293212805566537, 0.7344767486013538, 0.7282499665226763]"
