power,rounds,threshold,pearson,spearman
1,1,0.05,"[0.8362684472728854, 0.8362684472728854, 0.8362684472728854]","[0.8618529173303514, 0.8618529173303514, 0.8618529173303514]"
1,1,0.1,"[0.8360670814416642, 0.8360670814416642, 0.8360670814416642]","[0.8614859544750895, 0.8614859544750895, 0.8614859544750895]"
1,1,0.2,"[0.8347947021759317, 0.8347947021759317, 0.8347947021759317]","[0.8610169140900504, 0.8610169140900504, 0.8610169140900504]"
1,1,0.3,"[0.8369271022734002, 0.8369271022734002, 0.8369271022734002]","[0.862071598752438, 0.862071598752438, 0.862071598752438]"
1,1,0.5,"[0.8393064682045722, 0.8393064682045722, 0.8393064682045722]","[0.8634157160382048, 0.8634157160382048, 0.8634157160382048]"
1,1,0.7,"[0.8371736899899517, 0.8371736899899517, 0.8371736899899517]","[0.8624066932620561, 0.8624066932620561, 0.8624066932620561]"
1,3,0.05,"[0.8296377485949542, 0.8296377485949542, 0.8296377485949542]","[0.8567639926328968, 0.8567639926328968, 0.8567639926328968]"
1,3,0.1,"[0.835181385758919, 0.835181385758919, 0.835181385758919]","[0.8602522584804607, 0.8602522584804607, 0.8602522584804607]"
1,3,0.2,"[0.8355581018442533, 0.8355581018442533, 0.8355581018442533]","[0.8600356652521848, 0.8600356652521848, 0.8600356652521848]"
1,3,0.3,"[0.8373111795262218, 0.8373111795262218, 0.8373111795262218]","[0.863030095370604, 0.863030095370604, 0.863030095370604]"
1,3,0.5,"[0.8293001364242338, 0.8293001364242338, 0.8293001364242338]","[0.8578566025083305, 0.8578566025083305, 0.8578566025083305]"
1,3,0.7,"[0.7906490527310306, 0.7906490527310306, 0.7906490527310306]","[0.850835027397624, 0.850835027397624, 0.850835027397624]"
1,5,0.05,"[0.833479664333372, 0.833479664333372, 0.833479664333372]","[0.8594437358654423, 0.8594437358654423, 0.8594437358654423]"
1,5,0.1,"[0.8370115413395862, 0.8370115413395862, 0.8370115413395862]","[0.8618827275503864, 0.8618827275503864, 0.8618827275503864]"
1,5,0.2,"[0.8378142908278099, 0.8378142908278099, 0.8378142908278099]","[0.862721123943169, 0.862721123943169, 0.862721123943169]"
1,5,0.3,"[0.8380049592130223, 0.8380049592130223, 0.8380049592130223]","[0.8630274926618399, 0.8630274926618399, 0.8630274926618399]"
1,5,0.5,"[0.8271580101206916, 0.8271580101206916, 0.8271580101206916]","[0.8557823142211011, 0.8557823142211011, 0.8557823142211011]"
1,5,0.7,"[0.8081541363177458, 0.8081541363177458, 0.8081541363177458]","[0.8446707569068614, 0.8446707569068614, 0.8446707569068614]"
1,10,0.05,"[0.8377462040741377, 0.8377462040741377, 0.8377462040741377]","[0.861518315426035, 0.861518315426035, 0.861518315426035]"
1,10,0.1,"[0.8385486172887398, 0.8385486172887398, 0.8385486172887398]","[0.8628196500038711, 0.8628196500038711, 0.8628196500038711]"
1,10,0.2,"[0.8377383047612055, 0.8377383047612055, 0.8377383047612055]","[0.8624779123298237, 0.8624779123298237, 0.8624779123298237]"
1,10,0.3,"[0.8364770263527057, 0.8364770263527057, 0.8364770263527057]","[0.8600144124948627, 0.8600144124948627, 0.8600144124948627]"
1,10,0.5,"[0.8270531705142207, 0.8270531705142207, 0.8270531705142207]","[0.8537847021498851, 0.8537847021498851, 0.8537847021498851]"
1,10,0.7,"[0.7913981453339598, 0.7913981453339598, 0.7913981453339598]","[0.8340509190993921, 0.8340509190993921, 0.8340509190993921]"
2,1,0.05,"[0.8331367061791977, 0.8331367061791977, 0.8331367061791977]","[0.8604446693743272, 0.8604446693743272, 0.8604446693743272]"
2,1,0.1,"[0.835907429669029, 0.835907429669029, 0.835907429669029]","[0.8615598334930546, 0.8615598334930546, 0.8615598334930546]"
2,1,0.2,"[0.8383061853875187, 0.8383061853875187, 0.8383061853875187]","[0.8634384572701811, 0.8634384572701811, 0.8634384572701811]"
2,1,0.3,"[0.839556545144867, 0.839556545144867, 0.839556545144867]","[0.8640783093166049, 0.8640783093166049, 0.8640783093166049]"
2,1,0.5,"[0.8384522641304467, 0.8384522641304467, 0.8384522641304467]","[0.8635258471744904, 0.8635258471744904, 0.8635258471744904]"
2,1,0.7,"[0.8394301136608188, 0.8394301136608188, 0.8394301136608188]","[0.8620295843956107, 0.8620295843956107, 0.8620295843956107]"
2,3,0.05,"[0.8384899237883889, 0.8384899237883889, 0.8384899237883889]","[0.8619997524633082, 0.8619997524633082, 0.8619997524633082]"
2,3,0.1,"[0.8351260887554606, 0.8351260887554606, 0.8351260887554606]","[0.8602497225533692, 0.8602497225533692, 0.8602497225533692]"
2,3,0.2,"[0.8378700959688063, 0.8378700959688063, 0.8378700959688063]","[0.8626832321538563, 0.8626832321538563, 0.8626832321538563]"
